Time,Kinetic_E,Potential_E,Total_E
2.1700,8197260.6806,-1812986.3687,6384274.3119
2.1800,8255037.1372,-1841783.6895,6413253.4477
2.1900,8403544.5939,-1899305.4833,6504239.1106
2.2000,8570490.8930,-1758723.7265,6811767.1665
2.2100,8726174.4056,-1936562.0529,6789612.3526
2.2200,8916187.7649,-1815968.4609,7100219.3041
2.2300,9229951.6256,-1825863.0146,7404088.6110
2.2400,9502132.7612,-2065860.6364,7436272.1248
2.2500,9816985.6697,-2072732.9133,7744252.7564
2.2600,10181031.5902,-2104828.9039,8076202.6862
2.2700,10596107.6121,-2208890.3816,8387217.2305
2.2800,11299634.7802,-2105909.1952,9193725.5850
2.2900,12383830.4515,-2226005.6150,10157824.8364
2.3000,14144553.6776,-2415165.2040,11729388.4737
2.3100,16425341.5731,-2745976.9629,13679364.6103
2.3200,16105840.1641,-2640969.2805,13464870.8836
2.3300,15006774.3924,-2491969.7764,12514804.6160
2.3400,13809090.4001,-2405567.2309,11403523.1692
2.3500,12757367.1900,-2296883.2028,10460483.9872
2.3600,11809913.9020,-2268578.6854,9541335.2165
2.3700,11022409.2963,-2182266.6936,8840142.6027
2.3800,10380585.3920,-2194821.0523,8185764.3397
2.3900,9886406.9419,-2098894.5046,7787512.4373
2.4000,9493131.1072,-1956189.6734,7536941.4338
2.4100,9192510.4632,-1864645.5586,7327864.9046
2.4200,8900808.8293,-1934689.7046,6966119.1246
2.4300,8645875.2406,-1789879.8175,6855995.4231
2.4400,8370899.6268,-1860110.4348,6510789.1920
2.4500,8137864.6839,-1637809.4608,6500055.2231
2.4600,7944365.7099,-1776482.4411,6167883.2688
2.4700,7780410.4766,-1857416.6020,5922993.8745
2.4800,7677901.8851,-1704467.2668,5973434.6183
2.4900,7590885.5813,-1747819.4150,5843066.1664
2.5000,7533975.7022,-1656644.7227,5877330.9795
2.5100,7433368.5776,-1602244.1799,5831124.3977
2.5200,7316798.2141,-1794770.2711,5522027.9430
2.5300,7197044.5508,-1684992.7325,5512051.8183
2.5400,7095867.7636,-1557511.1227,5538356.6410
2.5500,7020600.2672,-1659430.0857,5361170.1814
2.5600,6929936.5212,-1559826.7117,5370109.8095
2.5700,6865315.7109,-1770477.9552,5094837.7558
2.5800,6816384.7815,-1638442.2478,5177942.5336
2.5900,6788584.1002,-1611885.5974,5176698.5028
2.6000,6743180.1530,-1604865.9622,5138314.1908
2.6100,6735806.0638,-1576730.0772,5159075.9865
2.6200,6724219.0987,-1587901.7961,5136317.3026
2.6300,6745425.0810,-1602953.9187,5142471.1623
2.6400,6787352.6997,-1665624.1472,5121728.5525
2.6500,6802975.5198,-1635365.9862,5167609.5335
2.6600,6803763.1432,-1620598.9562,5183164.1870
2.6700,6788104.3663,-1588329.6100,5199774.7563
2.6800,6785240.5625,-1570505.1399,5214735.4226
2.6900,6777738.8747,-1584400.6214,5193338.2533
2.7000,6767523.4909,-1514253.1631,5253270.3278
2.7100,6852267.6768,-1601709.9769,5250557.6999
2.7200,6968635.0942,-1667909.7150,5300725.3792
2.7300,7117248.3781,-1572495.5892,5544752.7889
2.7400,7327996.7230,-1718790.7438,5609205.9792
2.7500,7607743.0334,-1794412.3997,5813330.6336
2.7600,7914900.3092,-1747200.2096,6167700.0997
2.7700,8360780.8645,-1928750.9294,6432029.9351
2.7800,9046412.6967,-1882369.0226,7164043.6741
2.7900,10095708.5217,-1913965.7139,8181742.8078
2.8000,11302094.0364,-2028579.3898,9273514.6466
2.8100,11167180.1479,-2132174.5819,9035005.5660
2.8200,10614350.4959,-1932698.6011,8681651.8947
2.8300,9855799.1742,-1921403.9206,7934395.2537
2.8400,9214998.7547,-1984466.9396,7230531.8150
2.8500,8647850.4451,-1849283.3401,6798567.1050
2.8600,8190744.7083,-1785656.2800,6405088.4284
2.8700,7901852.8620,-1690039.8974,6211812.9646
2.8800,7685974.4421,-1759271.7439,5926702.6981
2.8900,7516486.4106,-1656179.5042,5860306.9064
2.9000,7389604.9191,-1762186.8479,5627418.0712
2.9100,7330519.0534,-1647130.0915,5683388.9619
2.9200,7430933.7953,-1603409.1718,5827524.6235
2.9300,7736449.3142,-1707035.4301,6029413.8841
2.9400,8161888.6064,-1728614.3703,6433274.2361
2.9500,7979141.9879,-1880569.9204,6098572.0675
2.9600,7637231.8280,-1812431.8127,5824800.0152
2.9700,7306638.6123,-1653400.7678,5653237.8445
2.9800,7036539.0523,-1595468.9663,5441070.0860
2.9900,6868918.3008,-1648686.5342,5220231.7666
3.0000,6799188.5008,-1618953.6359,5180234.8649
3.0100,6834542.6296,-1500012.6763,5334529.9533
3.0200,6857336.2722,-1495938.1490,5361398.1232
3.0300,6751439.0870,-1612812.4112,5138626.6757
3.0400,6625668.0378,-1522417.9175,5103250.1202
3.0500,6498316.7348,-1616400.5551,4881916.1797
